decision support system,0.9230450104
multi agent system,0.9093696796
user experience,0.9020132044
mobile device,0.9010906062
mobile robot,0.9005843406
information science,0.8975060746
user interface,0.8946920935
virtual environment,0.8923534281
software development,0.8922310569
lesson learn,0.8913747146
knowledge management,0.8907260065
virtual reality,0.8900613877
electrical engineer,0.8896685563
virtual laboratory,0.8894837151
software engineer,0.8890202461
virtual world,0.8884280313
computational intelligence,0.8883110180
pervasive computing,0.8879171051
social network,0.8855698393
information retrieval,0.8839793857
product development,0.8822158355
ambient intelligence,0.8799995578
virtual machine,0.8784414136
neural network,0.8770121133
mobile phone,0.8746343260
user interface design,0.8728276228
web service,0.8721908511
natural language,0.8721464606
power electronic,0.8700279818
open source,0.8623247694
school student,0.8612522618
smart city,0.8601235926
real world,0.8588376521
artificial intelligence,0.8559938415
ubiquitous computing,0.8535959834
design implementation,0.8526849075
computational science,0.8518861416
information technology,0.8515184851
end user,0.8488497367
object orient,0.8451316987
high school,0.8417733722
interaction design,0.8390407265
digital library,0.8369774194
engineer education,0.8306984510
distance learn,0.8244238637
high school student,0.8178793324
mix reality,0.8007986957
active learn,0.7909195284
graphical user interface,0.7891597461
assist live,0.7615722587
decision support,0.7564852685
ambient assist live,0.7454721702
health care,0.7414591221
robot interaction,0.7394347996
computing environment,0.7381601825
mobile augment reality,0.7320648489
tool support,0.7242962628
science education,0.7042368726
internet thing,0.7035468431
collaborative learn,0.6987972033
reinforcement learn,0.6971630649
context aware,0.6901104578
intelligent tutor,0.6707851805
semantic web,0.6691257027
higher education,0.6579036547
human robot,0.6565147069
machine learn,0.6492544236
interface design,0.6484019823
user center,0.6465707966
introductory program,0.6424135079
multi agent,0.6405735278
visual impair,0.6344042922
virtual learn environment,0.6284666889
human machine,0.6280185649
blende learn,0.6270456882
mobile robot navigation,0.6003512401
project learn,0.5990700271
ambient assist,0.5962977927
clinical decision support,0.5951392801
home environment,0.5933907332
educational tool,0.5928039016
design evaluation,0.5910958782
knowledge engineer,0.5792869565
program environment,0.5726679872
case study,0.5707555015
data mining,0.5651071217
activity recognition,0.5545500543
signal process,0.5508447487
student learn,0.5407173183
tool teache,0.5335731050
enhance learn,0.5209311046
engineer student,0.5001225505
intelligent tutor system,0.4885174123
interactive multimedia,0.4822296698
smart home,0.4772758148
author tool,0.4732826941
learn tool,0.4730679970
mobile computing,0.4632491760
software tool,0.4596218135
design project,0.4543927833
pair program,0.4534273097
man machine,0.4514460683
software project,0.4476618108
support collaborative,0.4451422624
intelligent user interface,0.4411741895
grand challenge,0.4362703054
computer assist,0.4340288245
electronic engineer,0.4250478177
computer science curriculum,0.4164560673
intelligent environment,0.4085564084
augment reality,0.4064224814
science engineer,0.4039756815
health monitor,0.3928215544
web technology,0.3873275044
undergraduate computer science,0.3870909941
online learn,0.3828195729
human robot interaction,0.3728313620
language learn,0.3726296459
learn object,0.3719125744
approach teache,0.3683887910
learn introductory,0.3642198552
serious game,0.3570260021
learn teache,0.3561796155
teache learn,0.3529994117
computer architecture organization,0.3523521145
human interaction,0.3505458952
user interface development,0.3504278261
mediate communication,0.3502561899
education research,0.3418200426
engineer design,0.3416885867
game design,0.3310887420
rapid prototype,0.3248626637
operate system,0.3229264248
remote laboratory,0.3220429269
science course,0.3195465621
brain computer,0.3139264248
student perception,0.3130045224
problem learn,0.3110336180
teache software engineer,0.3064004027
centre design,0.3028501357
high performance,0.3027420822
computer architecture,0.3014628780
program course,0.3010975243
improve learn,0.3002515766
haptic feedback,0.2982157196
interaction intelligent,0.2971545908
computer science,0.2948825010
large scale,0.2939753986
conceptual framework,0.2916792367
electrical engineer student,0.2900150159
secondary school,0.2896081741
learn environment,0.2892323229
tutor system,0.2876407805
product design,0.2865304430
image process,0.2861881269
learn algorithm,0.2858280396
undergraduate student,0.2734887319
d virtual environment,0.2709903762
recommender system,0.2662769311
model simulation,0.2656603380
case reason,0.2651789887
machine interface,0.2639519672
integrate information,0.2608068978
computer interface,0.2599842626
educational software,0.2597793311
eye track,0.2587711418
support collaborative learn,0.2579401295
computer science classroom,0.2577357008
center design,0.2550471781
reality environment,0.2515054911
social interaction,0.2506123444
sensor network,0.2496335342
teache software,0.2479730982
smart home environment,0.2475585721
engineer curriculum,0.2449735320
architecture organization,0.2369682682
information assurance,0.2369229288
introduction special,0.2358401803
electrical computer engineer,0.2357791188
intelligent agent,0.2325107615
computer interaction,0.2317730215
software process,0.2308068978
force feedback,0.2284369667
reverse engineer,0.2254790131
model human,0.2253382059
humanoid robot,0.2244927220
activity daily,0.2225170793
electronic instrumentation,0.2216111254
project management,0.2211671476
web application,0.2208068978
object orient program,0.2207473622
problem solve,0.2198137348
learn experience,0.2192192446
mental model,0.2154730831
teache introductory,0.2145783353
computer simulation,0.2140328731
web portal,0.2139373382
open source software,0.2128412956
design principle,0.2121603075
regulate learn,0.2116700409
mobile augment,0.2116363076
system design,0.2114405733
software engineer education,0.2110104961
graphical user,0.2093844047
human factor,0.2090447014
cognitive style,0.2069523323
interdisciplinary approach,0.2060172449
computer science student,0.2048157090
distance education,0.2046586837
software architecture,0.2040513618
laboratory experience,0.2040513618
experience teache,0.2040513618
learn style,0.2034281884
user centre,0.2031788064
computer engineer,0.2027281772
laboratory experiment,0.2024242590
mobile communication,0.2023011507
computer support,0.2017879444
