supply chain,0.9280582569
markov chain,0.9270754014
fault tolerant,0.9240709266
critical infrastructure,0.9236385490
monte carlo,0.9228608963
fuzzy logic,0.9222412234
electric vehicle,0.9216792088
genetic algorithm,0.9212092583
nuclear power,0.9211491994
neural network,0.9203100720
petri net,0.9195086068
sensitivity analysis,0.9171818578
importance measure,0.9149272156
monte carlo simulation,0.9136495824
bayesian network,0.9125370537
nuclear power plant,0.9120034584
markov model,0.9117606074
optimal control,0.9110294716
wind turbine,0.9093357034
fault tree analysis,0.9080361205
risk assessment,0.9014141399
human reliability,0.8968932079
failure rate,0.8921623039
bayesian inference,0.8906049480
spent nuclear fuel,0.8793929160
fault tolerance,0.8791334627
yucca mountain,0.8689081123
probabilistic risk assessment,0.8628499270
carlo simulation,0.8605170523
waste isolation pilot plant,0.8597375051
radioactive waste,0.8555137528
markov chain monte,0.8491334627
preventive maintenance,0.8486058509
procedure nuclear power plant,0.8439873292
multi objective,0.8385368825
nuclear fuel,0.8352120245
power plant,0.8350475911
bayesian belief network,0.8022122531
fault detection isolation,0.8017186741
fault diagnosis,0.7994117966
condition monitor,0.7931334627
mountain nevada,0.7860124241
fault tree,0.7754004482
fuzzy inference,0.7719265587
safety assessment,0.7678398413
human error,0.7671645845
failure probability,0.7532997670
procedure nuclear power,0.7527130908
markov chain monte carlo,0.7487714692
supply chain management,0.7476077247
model validation,0.7279990690
failure mode,0.7252534917
safety critical software,0.7251472038
model check,0.7233426476
uncertainty sensitivity analysis,0.7190862899
bayesian approach,0.7121860738
artificial neural network,0.7114016367
belief network,0.7102076466
human reliability analysis,0.7096750511
parameter estimation,0.7062501944
multi agent,0.7042076466
mode effect analysis,0.7022849275
performance evaluation,0.6969151124
model predictive control,0.6952182465
yucca mountain nevada,0.6895275085
performance assessment waste,0.6842015002
control chart,0.6831594153
performance assessment propose high,0.6803943323
performance assessment,0.6760290806
high level,0.6715186746
electric power,0.6684395616
isolation pilot plant,0.6675154736
probabilistic safety assessment,0.6665903273
chain monte carlo,0.6619445433
failure mode effect analysis,0.6614978222
assessment waste,0.6613966840
failure mode effect,0.6606158550
uncertainty quantification,0.6606089700
design optimization,0.6547908422
reliability evaluation,0.6409467680
level radioactive waste repository,0.6288660062
life cycle,0.6272618173
uncertainty sensitivity,0.6238903586
safety critical,0.6207597968
replacement policy,0.6133824932
waste repository,0.6126329311
pilot plant,0.6123590355
critical software,0.6118222252
multi state,0.6099008478
performance assessment propose high level,0.6084873555
level radioactive waste,0.6084755204
maintenance optimization,0.6052151870
data driven,0.6007463826
tree analysis,0.5992494998
radioactive waste repository,0.5983320634
detection isolation,0.5952704315
parameter uncertainty,0.5841178954
predictive maintenance,0.5786960723
procedure nuclear,0.5756445266
predictive control,0.5747794217
emergency operate procedure,0.5732592130
hybrid electric vehicle,0.5722138542
chain management,0.5706996770
performance assessment propose,0.5661051436
cognitive model dynamic probabilistic simulation,0.5620685020
markov decision,0.5617819396
waste repository yucca,0.5515960568
fault tolerant control,0.5506044114
maintenance schedule,0.5495010735
spent nuclear,0.5491132728
nuclear fuel high,0.5488361805
waste repository yucca mountain,0.5462957932
